po_id,supplier_id,category_level_1,category_level_2,order_date,expected_delivery_date,actual_delivery_date,order_quantity,order_amount_eur,payment_terms_days,currency,po_status,data_source_note
PO00021,SUP004,Goods,Yarns,2025-03-14,2025-04-07,2025-04-08,1946,148780.1,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00022,SUP048,Goods,Yarns,2025-02-13,2025-03-29,2025-04-09,663,33843.32,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00023,SUP017,Goods,Yarns,2025-06-11,2025-07-13,2025-07-13,2722,76930.26,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00024,SUP009,Manufacturing,Outsourced Fabric and Yarn Processing,2025-10-27,2025-11-09,2025-11-20,11,60925,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00025,SUP050,Services,Personnel (Training and HR Services),2025-04-17,2025-05-22,2025-05-22,17,17717,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00026,SUP053,Services,Plant and Machinery Maintenance,2025-12-27,2026-02-10,2026-02-17,6,34534,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00027,SUP017,Goods,Yarns,2025-03-31,2025-04-08,2025-04-08,3754,180399.8,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00028,SUP009,Manufacturing,Outsourced Fabric and Yarn Processing,2025-03-04,2025-03-11,2025-03-13,50,31135,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00029,SUP041,Services,General Administrative Services,2025-11-27,2025-12-09,2025-12-09,17,11828,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00030,SUP058,Goods,Yarns,2025-06-19,2025-07-03,2025-07-05,4751,179771.24,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00031,SUP012,Goods,"Garments, Components and Trimmings",2025-07-01,2025-07-21,2025-07-21,2302,57743.14,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00032,SUP042,Manufacturing,Garment Manufacturing / Confection,2025-06-01,2025-07-09,2025-07-09,36,64787,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00033,SUP027,Manufacturing,Garment Manufacturing / Confection,2025-04-13,2025-05-23,2025-05-23,52,73258,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00034,SUP023,Services,Plant and Machinery Maintenance,2025-09-03,2025-10-14,2025-10-14,23,67849,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00035,SUP058,Goods,Yarns,2025-05-24,2025-06-03,2025-06-03,3914,179452.07,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00036,SUP053,Services,Plant and Machinery Maintenance,2025-01-29,2025-02-19,2025-02-19,52,52911,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00037,SUP012,Goods,"Garments, Components and Trimmings",2025-04-01,2025-04-23,2025-04-23,2989,232673.13,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00038,SUP037,Goods,Leathers,2025-10-16,2025-11-01,2025-11-01,1592,113689.78,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00039,SUP039,Fixed Assets,Fixed Assets,2025-04-23,2025-05-01,2025-05-01,1,45481,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00040,SUP012,Goods,"Garments, Components and Trimmings",2025-06-15,2025-06-25,2025-06-30,4855,293391.22,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00041,SUP024,Goods,Yarns,2025-12-27,2026-01-28,2026-01-28,2807,75527.56,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00042,SUP028,Services,General Administrative Services,2025-11-24,2026-01-01,2026-01-01,12,48769,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00043,SUP025,Goods,Yarns,2025-06-07,2025-07-02,2025-07-07,4742,163035.83,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00044,SUP040,Services,General Administrative Services,2025-04-24,2025-06-06,2025-06-07,32,20434,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00045,SUP021,Transportation,Passenger Transport,2025-03-27,2025-04-08,2025-04-08,43,46007,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00046,SUP005,Goods,"Garments, Components and Trimmings",2025-06-29,2025-07-22,2025-07-22,60,348.35,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00047,SUP057,Goods,Leathers,2025-07-31,2025-09-07,2025-09-07,2927,138239.85,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00048,SUP037,Goods,Leathers,2025-11-30,2025-12-21,2026-01-02,2465,8554.76,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00049,SUP057,Goods,Leathers,2025-07-12,2025-07-29,2025-07-29,4531,363207.68,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00050,SUP058,Goods,Yarns,2025-09-05,2025-09-13,2025-09-13,1401,73312.69,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00051,SUP045,Manufacturing,Outsourcing,2025-10-11,2025-11-21,2025-11-30,19,40980,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00052,SUP019,Manufacturing,General Processing / Manufacturing,2025-12-05,2026-01-19,2026-01-19,7,5373,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00053,SUP006,Goods,Yarns,2025-08-31,2025-09-14,2025-09-17,2220,20829.35,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00054,SUP029,Goods,Fabrics,2025-01-23,2025-02-15,2025-02-15,2207,45515.75,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00055,SUP043,Manufacturing,Garment Manufacturing / Confection,2025-06-26,2025-08-06,2025-08-06,49,31820,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00056,SUP027,Manufacturing,Garment Manufacturing / Confection,2025-10-02,2025-11-08,2025-11-08,16,64424,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00057,SUP058,Goods,Yarns,2025-09-22,2025-11-04,2025-11-04,1257,14841.97,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00058,SUP014,Services,Facilities Management,2025-04-09,2025-04-24,2025-05-01,6,59067,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00059,SUP017,Goods,Yarns,2025-06-13,2025-06-24,2025-06-25,2312,104127.99,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00060,SUP038,Services,Facilities Management,2025-02-21,2025-03-06,2025-03-06,7,39498,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00061,SUP042,Manufacturing,Garment Manufacturing / Confection,2025-09-06,2025-10-19,2025-10-19,3,24570,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00062,SUP044,Fixed Assets,Fixed Assets,2025-12-22,2026-01-23,2026-01-26,57,45449,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00063,SUP002,Goods,Fabrics,2025-06-22,2025-07-18,2025-07-18,4077,298457.33,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00064,SUP020,Fixed Assets,Fixed Assets,2025-08-15,2025-09-11,2025-09-11,27,13703,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00065,SUP027,Manufacturing,Garment Manufacturing / Confection,2025-09-06,2025-10-16,2025-10-16,53,9367,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00066,SUP050,Services,Personnel (Training and HR Services),2025-09-26,2025-11-08,2025-11-15,54,9553,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00067,SUP018,Manufacturing,Garment Manufacturing / Confection,2025-07-08,2025-08-13,2025-08-13,41,18236,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00068,SUP029,Goods,Fabrics,2025-04-01,2025-05-08,2025-05-08,2915,88737.02,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00069,SUP019,Manufacturing,General Processing / Manufacturing,2025-01-15,2025-02-15,2025-02-26,55,30091,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00070,SUP027,Manufacturing,Garment Manufacturing / Confection,2025-09-20,2025-09-28,2025-09-28,50,3166,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00071,SUP039,Fixed Assets,Fixed Assets,2025-01-05,2025-01-26,2025-01-26,52,42037,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00072,SUP023,Services,Plant and Machinery Maintenance,2025-08-24,2025-09-16,2025-09-21,40,54055,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00073,SUP007,Goods,"Garments, Components and Trimmings",2025-09-04,2025-09-15,2025-09-15,2314,127495.58,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00074,SUP058,Goods,Yarns,2025-11-30,2025-12-26,2026-01-04,4287,280744.78,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00075,SUP044,Fixed Assets,Fixed Assets,2025-03-13,2025-03-21,2025-03-21,19,36003,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00076,SUP038,Services,Facilities Management,2025-12-29,2026-02-10,2026-02-10,22,31145,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00077,SUP033,Manufacturing,Outsourced Fabric and Yarn Processing,2025-06-03,2025-06-20,2025-06-20,57,25741,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00078,SUP044,Fixed Assets,Fixed Assets,2025-06-21,2025-07-03,2025-07-09,27,45426,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00079,SUP008,Services,Communication and Marketing,2025-08-29,2025-09-08,2025-09-08,38,11334,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00080,SUP056,Transportation,Freight Transport / Logistics,2025-12-15,2026-01-15,2026-01-15,27,9086,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00081,SUP027,Manufacturing,Garment Manufacturing / Confection,2025-10-19,2025-11-24,2025-12-07,56,25639,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00082,SUP004,Goods,Yarns,2025-01-03,2025-02-07,2025-02-13,1347,57291.7,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00083,SUP026,Transportation,Freight Transport / Logistics,2025-08-08,2025-09-14,2025-09-14,3,71963,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00084,SUP058,Goods,Yarns,2025-06-14,2025-07-24,2025-07-26,83,4477.05,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00085,SUP007,Goods,"Garments, Components and Trimmings",2025-07-16,2025-08-24,2025-08-24,1418,10254.81,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00086,SUP047,Fixed Assets,Fixed Assets,2025-09-24,2025-11-08,2025-11-08,28,19536,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00087,SUP049,Goods,Yarns,2025-04-07,2025-04-24,2025-04-24,3354,11374.01,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00088,SUP011,Goods,Yarns,2025-03-05,2025-04-04,2025-04-04,356,11753.7,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00089,SUP039,Fixed Assets,Fixed Assets,2025-01-25,2025-02-07,2025-02-07,2,8322,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00090,SUP036,Goods,Fabrics,2025-05-10,2025-06-16,2025-06-16,1733,103356.08,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00091,SUP043,Manufacturing,Garment Manufacturing / Confection,2025-09-24,2025-10-18,2025-10-18,45,19978,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00092,SUP008,Services,Communication and Marketing,2025-02-24,2025-04-03,2025-04-09,34,28433,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00093,SUP060,Manufacturing,Outsourced Leather Processing,2025-09-04,2025-10-02,2025-10-10,1,13665,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00094,SUP047,Fixed Assets,Fixed Assets,2025-02-21,2025-03-16,2025-03-16,30,40800,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00095,SUP024,Goods,Yarns,2025-12-13,2026-01-09,2026-01-09,999,9694.17,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00096,SUP011,Goods,Yarns,2025-06-18,2025-07-17,2025-07-17,2247,168275.95,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00097,SUP008,Services,Communication and Marketing,2025-07-25,2025-08-26,2025-08-26,18,52556,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00098,SUP052,Manufacturing,Outsourcing,2025-03-27,2025-04-10,2025-04-13,55,22892,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00099,SUP044,Fixed Assets,Fixed Assets,2025-08-13,2025-08-31,2025-08-31,50,49002,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00100,SUP047,Fixed Assets,Fixed Assets,2025-03-08,2025-04-14,2025-04-14,8,55907,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00101,SUP001,Goods,"Garments, Components and Trimmings",2025-12-27,2026-02-05,2026-02-05,4773,296011.72,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00102,SUP022,Services,"Analysis and Monitoring (Water, Air, Fumes)",2025-09-23,2025-11-02,2025-11-02,40,14483,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00103,SUP023,Services,Plant and Machinery Maintenance,2025-12-06,2026-01-06,2026-01-07,53,9152,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00104,SUP031,Services,Plant and Machinery Maintenance,2025-09-11,2025-09-28,2025-09-29,18,8599,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00105,SUP016,Fixed Assets,Fixed Assets,2025-02-10,2025-03-18,2025-03-18,37,60733,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00106,SUP008,Services,Communication and Marketing,2025-09-12,2025-09-20,2025-09-25,27,6696,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00107,SUP036,Goods,Fabrics,2025-04-16,2025-05-22,2025-05-22,3026,213229.74,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00108,SUP050,Services,Personnel (Training and HR Services),2025-11-14,2025-12-29,2025-12-29,43,49617,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00109,SUP015,Services,"Analysis and Monitoring (Water, Air, Fumes)",2025-01-02,2025-01-30,2025-01-30,41,40270,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00110,SUP048,Goods,Yarns,2025-07-29,2025-08-11,2025-08-18,3268,64500.67,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00111,SUP003,Services,General Services,2025-11-21,2026-01-04,2026-01-11,58,61048,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00112,SUP001,Goods,"Garments, Components and Trimmings",2025-09-29,2025-10-09,2025-10-09,3595,257364.25,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00113,SUP059,Goods,Fabrics,2025-04-01,2025-05-15,2025-05-20,4969,259543.67,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00114,SUP039,Fixed Assets,Fixed Assets,2025-12-21,2026-01-12,2026-01-12,22,40557,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00115,SUP020,Fixed Assets,Fixed Assets,2025-12-26,2026-02-06,2026-02-06,46,74559,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00116,SUP019,Manufacturing,General Processing / Manufacturing,2025-12-18,2026-01-16,2026-01-16,9,25306,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00117,SUP036,Goods,Fabrics,2025-09-03,2025-10-17,2025-10-17,3469,200844.89,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00118,SUP001,Goods,"Garments, Components and Trimmings",2025-09-25,2025-10-08,2025-10-10,1240,7706.61,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00119,SUP044,Fixed Assets,Fixed Assets,2025-05-09,2025-05-25,2025-05-25,45,40684,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00120,SUP056,Transportation,Freight Transport / Logistics,2025-12-12,2026-01-23,2026-01-23,48,52972,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00121,SUP045,Manufacturing,Outsourcing,2025-05-28,2025-06-07,2025-06-07,25,56600,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00122,SUP056,Transportation,Freight Transport / Logistics,2025-08-15,2025-09-05,2025-09-05,46,50200,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00123,SUP019,Manufacturing,General Processing / Manufacturing,2025-08-18,2025-09-05,2025-09-05,5,26507,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00124,SUP017,Goods,Yarns,2025-03-08,2025-03-25,2025-03-25,2139,4854.84,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00125,SUP004,Goods,Yarns,2025-11-17,2025-12-13,2025-12-13,4741,225545.14,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00126,SUP015,Services,"Analysis and Monitoring (Water, Air, Fumes)",2025-04-05,2025-05-15,2025-05-16,35,54876,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00127,SUP022,Services,"Analysis and Monitoring (Water, Air, Fumes)",2025-07-04,2025-07-29,2025-08-04,49,71533,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00128,SUP040,Services,General Administrative Services,2025-11-15,2025-12-07,2025-12-07,44,44065,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00129,SUP025,Goods,Yarns,2025-05-12,2025-06-22,2025-06-22,252,19561.03,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00130,SUP032,Goods,Leathers,2025-01-23,2025-02-17,2025-02-17,1627,46288.18,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00131,SUP001,Goods,"Garments, Components and Trimmings",2025-11-17,2025-11-28,2025-11-28,1796,132479.98,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00132,SUP054,Services,Utilities,2025-12-26,2026-01-29,2026-01-29,5,22152,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00133,SUP006,Goods,Yarns,2025-02-07,2025-02-17,2025-02-23,1914,148515.07,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00134,SUP002,Goods,Fabrics,2025-07-19,2025-08-02,2025-08-02,568,36747.28,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00135,SUP051,Fixed Assets,Fixed Assets,2025-12-18,2026-01-13,2026-01-13,19,59367,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00136,SUP031,Services,Plant and Machinery Maintenance,2025-03-22,2025-05-02,2025-05-02,48,53248,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00137,SUP024,Goods,Yarns,2025-01-06,2025-02-17,2025-02-17,1208,14560.22,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00138,SUP036,Goods,Fabrics,2025-02-13,2025-03-11,2025-03-11,2866,55647.73,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00139,SUP054,Services,Utilities,2025-05-10,2025-05-29,2025-06-04,43,9128,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00140,SUP005,Goods,"Garments, Components and Trimmings",2025-05-09,2025-05-22,2025-05-23,2975,37090.81,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00141,SUP029,Goods,Fabrics,2025-06-18,2025-07-14,2025-07-14,1298,63412.4,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00142,SUP011,Goods,Yarns,2025-01-03,2025-01-30,2025-01-31,1864,113806.46,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00143,SUP029,Goods,Fabrics,2025-07-03,2025-07-29,2025-07-29,941,15455.06,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00144,SUP009,Manufacturing,Outsourced Fabric and Yarn Processing,2025-10-03,2025-10-22,2025-10-22,57,12022,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00145,SUP041,Services,General Administrative Services,2025-01-16,2025-03-01,2025-03-01,50,29886,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00146,SUP035,Manufacturing,Outsourcing,2025-08-30,2025-09-15,2025-09-15,15,40141,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00147,SUP026,Transportation,Freight Transport / Logistics,2025-07-06,2025-08-14,2025-08-19,40,23737,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00148,SUP037,Goods,Leathers,2025-12-04,2025-12-20,2025-12-20,4010,320556.92,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00149,SUP005,Goods,"Garments, Components and Trimmings",2025-05-16,2025-06-15,2025-06-30,1743,78239.87,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00150,SUP003,Services,General Services,2025-11-29,2025-12-26,2026-01-05,18,36513,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00151,SUP042,Manufacturing,Garment Manufacturing / Confection,2025-02-09,2025-03-21,2025-03-21,59,31215,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00152,SUP032,Goods,Leathers,2025-09-04,2025-10-19,2025-10-23,1188,45618.69,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00153,SUP012,Goods,"Garments, Components and Trimmings",2025-03-22,2025-04-21,2025-04-21,1019,57883.6,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00154,SUP031,Services,Plant and Machinery Maintenance,2025-12-12,2026-01-18,2026-01-18,38,23134,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00155,SUP033,Manufacturing,Outsourced Fabric and Yarn Processing,2025-01-21,2025-03-05,2025-03-13,34,55143,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00156,SUP014,Services,Facilities Management,2025-08-18,2025-10-02,2025-10-02,56,65133,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00157,SUP010,Manufacturing,General Processing / Manufacturing,2025-10-26,2025-11-13,2025-11-13,33,36671,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00158,SUP030,Manufacturing,Outsourced Leather Processing,2025-11-02,2025-12-16,2025-12-29,25,52523,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00159,SUP039,Fixed Assets,Fixed Assets,2025-02-19,2025-03-09,2025-03-09,40,7116,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00160,SUP035,Manufacturing,Outsourcing,2025-01-01,2025-02-04,2025-02-04,24,7693,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00161,SUP051,Fixed Assets,Fixed Assets,2025-07-15,2025-08-13,2025-08-13,48,14807,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00162,SUP015,Services,"Analysis and Monitoring (Water, Air, Fumes)",2025-02-12,2025-03-09,2025-03-09,35,55562,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00163,SUP051,Fixed Assets,Fixed Assets,2025-01-04,2025-02-16,2025-02-16,34,2942,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00164,SUP021,Transportation,Passenger Transport,2025-07-29,2025-08-28,2025-08-29,17,72268,120,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00165,SUP026,Transportation,Freight Transport / Logistics,2025-04-15,2025-05-18,2025-05-18,36,65238,60,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00166,SUP017,Goods,Yarns,2025-06-07,2025-07-20,2025-07-20,3311,208649.61,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00167,SUP045,Manufacturing,Outsourcing,2025-03-24,2025-04-06,2025-04-14,26,46359,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00168,SUP053,Services,Plant and Machinery Maintenance,2025-03-16,2025-04-22,2025-04-22,28,13552,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00169,SUP039,Fixed Assets,Fixed Assets,2025-01-20,2025-02-20,2025-02-20,26,70289,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00170,SUP050,Services,Personnel (Training and HR Services),2025-03-31,2025-05-08,2025-05-08,13,69915,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00171,SUP033,Manufacturing,Outsourced Fabric and Yarn Processing,2025-09-22,2025-10-13,2025-10-13,44,6726,90,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00172,SUP023,Services,Plant and Machinery Maintenance,2025-12-09,2026-01-10,2026-01-10,13,69861,30,EUR,Closed,Synthetic PO records for NL2SQL demo
PO00173,SUP054,Services,Utilities,2025-10-14,2025-11-27,2025-11-27,53,38242,60,EUR,Closed,Synthetic PO records for NL2SQL demo
