supplier_id,period,on_time_delivery_rate_pct,average_delay_days,quality_defect_rate_pct,operational_score,supply_risk_score,risk_inverse_score,esg_score,weight_operational_pct,weight_risk_pct,weight_esg_pct,final_vendor_rating_score,rating_class,suggested_action,data_source_note
SUP034,2025,80.0,0.4,6.9,71.1,28.0,72.0,70.4,50,30,20,71.2,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP035,2025,90.9,0.5,3.7,84.9,38.0,62.0,73.0,45,35,20,74.5,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP036,2025,87.5,0.9,0.0,91.7,20.7,79.3,87.7,45,35,20,86.6,A,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP037,2025,87.5,1.5,2.0,85.7,34.2,65.8,74.5,45,35,20,76.5,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP038,2025,83.3,2.5,0.0,86.8,27.8,72.2,78.6,45,35,20,80.0,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP039,2025,80.0,0.7,3.25,79.8,26.1,73.9,66.6,45,35,20,75.1,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP040,2025,81.8,1.0,1.72,84.1,28.3,71.7,68.2,50,30,20,77.2,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP041,2025,77.8,1.0,4.84,74.1,39.7,60.3,86.0,50,30,20,72.3,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP042,2025,100.0,0.0,0.0,100,12.3,87.7,79.4,45,30,25,91.2,A,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP043,2025,87.5,0.8,4.44,80.7,24.9,75.1,72.6,45,30,25,77.0,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP044,2025,73.3,0.9,3.19,75.9,27.0,73.0,80.4,45,35,20,75.8,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP045,2025,61.5,3.1,3.9,64.1,39.8,60.2,76.2,45,35,20,65.2,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP046,2025,85.7,1.3,4.77,78.1,17.2,82.8,81.7,35,35,30,80.8,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP047,2025,100.0,0.0,4.29,89.3,17.7,82.3,64.9,45,35,20,82.0,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP048,2025,54.5,4.7,2.7,60.7,40.3,59.7,84.3,45,35,20,65.1,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP049,2025,71.4,1.9,3.12,73.4,27.8,72.2,83.1,45,35,20,74.9,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP050,2025,93.8,0.4,4.24,85.4,19.2,80.8,60.8,50,30,20,79.1,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP051,2025,85.7,1.3,4.72,78.3,28.3,71.7,71.2,45,35,20,74.6,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP052,2025,44.4,3.3,5.17,51.2,28.0,72.0,84.3,45,35,20,65.1,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP053,2025,80.0,1.1,4.82,75.2,36.1,63.9,71.1,40,40,20,69.9,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP054,2025,90.9,0.5,2.08,89.0,27.9,72.1,74.2,50,30,20,81.0,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP055,2025,100.0,0.0,4.35,89.1,17.9,82.1,70.9,50,30,20,83.4,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP056,2025,87.5,0.8,4.26,81.2,30.2,69.8,90.8,45,35,20,79.1,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP057,2025,87.5,0.5,4.06,82.2,35.9,64.1,84.9,45,35,20,76.4,B,Continue regular monitoring,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP058,2025,66.7,1.4,4.01,69.4,25.1,74.9,62.5,45,35,20,69.9,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP059,2025,50.0,2.2,4.9,56.7,22.5,77.5,87.9,45,35,20,70.2,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
SUP060,2025,50.0,3.2,5.26,54.2,32.6,67.4,82.4,45,35,20,64.5,C,Monitor closely; request improvement plan,"Synthetic vendor rating generated from PO, delivery, quality, risk and ESG records"
