supplier_id,assessment_date,environmental_score_0_100,social_score_0_100,governance_score_0_100,final_esg_score,e_weight,s_weight,g_weight,missing_or_expired_documents,esg_risk_level,human_review_required,data_source_note
SUP049,2025-07-06,87.3,71.7,89.0,83.1,0.4,0.3,0.3,SA8000 questionnaire; Terms and Conditions,Low,Yes,Synthetic ESG data; weighting follows Ratti project proposal
SUP050,2025-03-09,35.9,83.5,71.2,60.8,0.4,0.3,0.3,Supplier Code,Medium,Yes,Synthetic ESG data; weighting follows Ratti project proposal
SUP051,2025-01-13,87.5,61.4,59.2,71.2,0.4,0.3,0.3,None,Medium,No,Synthetic ESG data; weighting follows Ratti project proposal
SUP052,2025-04-11,81.5,88.6,83.8,84.3,0.4,0.3,0.3,None,Low,No,Synthetic ESG data; weighting follows Ratti project proposal
SUP053,2025-11-21,80.8,58.9,70.3,71.1,0.4,0.3,0.3,Technical capability evidence,Medium,Yes,Synthetic ESG data; weighting follows Ratti project proposal
SUP054,2025-08-11,73.8,67.0,81.8,74.2,0.4,0.3,0.3,Supplier Code,Medium,Yes,Synthetic ESG data; weighting follows Ratti project proposal
SUP055,2025-11-06,61.6,76.5,77.9,70.9,0.4,0.3,0.3,None,Medium,No,Synthetic ESG data; weighting follows Ratti project proposal
SUP056,2025-03-12,90.0,83.5,99.1,90.8,0.4,0.3,0.3,Code of Ethics; Insurance,Low,Yes,Synthetic ESG data; weighting follows Ratti project proposal
SUP057,2025-12-21,85.3,85.5,83.8,84.9,0.4,0.3,0.3,Terms and Conditions; Traceability evidence,Low,Yes,Synthetic ESG data; weighting follows Ratti project proposal
SUP058,2025-04-10,78.8,35.6,67.8,62.5,0.4,0.3,0.3,Quality certificate,Medium,Yes,Synthetic ESG data; weighting follows Ratti project proposal
SUP059,2025-02-13,88.0,89.4,86.3,87.9,0.4,0.3,0.3,Code of Ethics; Traceability evidence,Low,Yes,Synthetic ESG data; weighting follows Ratti project proposal
SUP060,2025-05-03,96.0,79.1,67.6,82.4,0.4,0.3,0.3,Supplier Code; SA8000 questionnaire; Subcontracting Terms; Audit report,Low,Yes,Synthetic ESG data; weighting follows Ratti project proposal
