table_name,field_name,data_type,business_meaning,source_or_logic,is_simulated,allowed_values_or_example,sensitive_or_pii
purchase_orders,supplier_id,TEXT FK,Supplier linked to PO,Synthetic demo table; derived where applicable,Yes,,No
purchase_orders,order_date,DATE,PO creation date,Synthetic demo table; derived where applicable,Yes,,No
purchase_orders,expected_delivery_date,DATE,Expected delivery date,Synthetic demo table; derived where applicable,Yes,,No
purchase_orders,actual_delivery_date,DATE,Actual delivery date,Synthetic demo table; derived where applicable,Yes,,No
purchase_orders,order_amount_eur,REAL,PO amount in EUR,Synthetic demo table; derived where applicable,Yes,,No
delivery_events,delivery_id,TEXT PK,Delivery record ID,Synthetic demo table; derived where applicable,Yes,,No
delivery_events,po_id,TEXT FK,Linked purchase order,Synthetic demo table; derived where applicable,Yes,,No
delivery_events,supplier_id,TEXT FK,Linked supplier,Synthetic demo table; derived where applicable,Yes,,No
delivery_events,delivery_delay_days,INTEGER,Actual delivery delay,Synthetic demo table; derived where applicable,Yes,,No
delivery_events,on_time_flag,INTEGER,Whether delivery is on time,Synthetic demo table; derived where applicable,Yes,,No
quality_events,quality_event_id,TEXT PK,Quality issue ID,Synthetic demo table; derived where applicable,Yes,,No
quality_events,po_id,TEXT FK,Linked PO,Synthetic demo table; derived where applicable,Yes,,No
quality_events,supplier_id,TEXT FK,Linked supplier,Synthetic demo table; derived where applicable,Yes,,No
quality_events,non_conformity_type,TEXT,Quality issue category,Synthetic demo table; derived where applicable,Yes,,No
quality_events,severity,TEXT,Quality severity,Synthetic demo table; derived where applicable,Yes,,No
quality_events,defect_rate,REAL,Defects / inspection quantity,Synthetic demo table; derived where applicable,Yes,,No
risk_events,risk_event_id,TEXT PK,Risk event ID,Synthetic demo table; derived where applicable,Yes,,No
risk_events,supplier_id,TEXT FK,Linked supplier,Synthetic demo table; derived where applicable,Yes,,No
risk_events,risk_type,TEXT,Risk category,Synthetic demo table; derived where applicable,Yes,,No
risk_events,likelihood_1_5,INTEGER,Risk likelihood,Synthetic demo table; derived where applicable,Yes,,No
risk_events,impact_1_5,INTEGER,Risk impact,Synthetic demo table; derived where applicable,Yes,,No
risk_events,recommended_action,TEXT,Suggested mitigation,Synthetic demo table; derived where applicable,Yes,,No
esg_assessments,supplier_id,TEXT FK,Supplier,Synthetic demo table; derived where applicable,Yes,,No
esg_assessments,environmental_score_0_100,REAL,Environmental compliance score,Synthetic demo table; derived where applicable,Yes,,No
esg_assessments,social_score_0_100,REAL,Social compliance score,Synthetic demo table; derived where applicable,Yes,,No
esg_assessments,governance_score_0_100,REAL,Governance compliance score,Synthetic demo table; derived where applicable,Yes,,No
esg_assessments,final_esg_score,REAL,E*0.4 + S*0.3 + G*0.3,Synthetic demo table; derived where applicable,Yes,,No
vendor_rating,supplier_id,TEXT FK,Supplier,Synthetic demo table; derived where applicable,Yes,,No
vendor_rating,on_time_delivery_rate_pct,REAL,OTD rate,Synthetic demo table; derived where applicable,Yes,,No
vendor_rating,quality_defect_rate_pct,REAL,Quality defect rate,Synthetic demo table; derived where applicable,Yes,,No
vendor_rating,operational_score,REAL,Operational performance score,Synthetic demo table; derived where applicable,Yes,,No
vendor_rating,risk_inverse_score,REAL,100 - supply_risk_score,Synthetic demo table; derived where applicable,Yes,,No
vendor_rating,final_vendor_rating_score,REAL,Weighted score,Synthetic demo table; derived where applicable,Yes,,No
vendor_rating,rating_class,TEXT,A/B/C/D rating,Synthetic demo table; derived where applicable,Yes,,No
