supplier_id,supplier_name_anonymized,sap_supplier_code,country,category_level_1,category_level_2,kraljic_quadrant,monitoring_frequency,qualification_status,qualification_intensity,annual_spend_eur,single_sourcing_flag,financial_risk_score,geopolitical_risk_score,traceability_risk_score,supply_risk_score,risk_level,last_review_date,next_review_date,data_source_note
SUP035,Supplier_Outsourcing_GE_035,RATTI-10035,Germany,Manufacturing,Outsourcing,Strategic,Quarterly,Risky,High,1287108,1,43.4,9,29.8,38.0,Medium,2025-04-08,2025-07-08,Synthetic supplier-level data based on Ratti project category/risk logic
SUP036,Supplier_Fabrics_IT_036,RATTI-10036,Italy,Goods,Fabrics,Strategic,Quarterly,Qualified with Reserve,High,445585,0,30.4,15,13.2,20.7,Low,2025-06-01,2025-09-01,Synthetic supplier-level data based on Ratti project category/risk logic
SUP037,Supplier_Leathers_SP_037,RATTI-10037,Spain,Goods,Leathers,Strategic,Quarterly,Qualified,High,856723,1,18.9,21,37.1,34.2,Low,2025-06-14,2025-09-14,Synthetic supplier-level data based on Ratti project category/risk logic
SUP038,Supplier_Facilities_IT_038,RATTI-10038,Italy,Services,Facilities Management,Leverage,Semi-annual,Qualified with Reserve,Medium,259312,0,37.8,19,24.2,27.8,Low,2025-09-22,2026-03-22,Synthetic supplier-level data based on Ratti project category/risk logic
SUP039,Supplier_Fixed_GE_039,RATTI-10039,Germany,Fixed Assets,Fixed Assets,Leverage,Annual,Qualified,Medium-Low,133372,0,42.7,15,15.0,26.1,Low,2025-02-24,2026-02-24,Synthetic supplier-level data based on Ratti project category/risk logic
SUP040,Supplier_General_IT_040,RATTI-10040,Italy,Services,General Administrative Services,Non-Critical,Annual,Not Qualified,Low,192769,0,36.7,13,36.2,28.3,Low,2025-11-24,2026-11-24,Synthetic supplier-level data based on Ratti project category/risk logic
SUP041,Supplier_General_IT_041,RATTI-10041,Italy,Services,General Administrative Services,Non-Critical,Annual,Qualified with Reserve,Low,228556,1,35.1,16,40.5,39.7,Medium,2025-10-21,2026-10-21,Synthetic supplier-level data based on Ratti project category/risk logic
SUP042,Supplier_Garment_IT_042,RATTI-10042,Italy,Manufacturing,Garment Manufacturing / Confection,Strategic,Semi-annual,Qualified,High,655868,0,19.4,8,7.1,12.3,Low,2025-04-22,2025-10-22,Synthetic supplier-level data based on Ratti project category/risk logic
SUP043,Supplier_Garment_FR_043,RATTI-10043,France,Manufacturing,Garment Manufacturing / Confection,Strategic,Semi-annual,Qualified,High,813472,0,29.5,17,28.6,24.9,Low,2025-10-07,2026-04-07,Synthetic supplier-level data based on Ratti project category/risk logic
SUP044,Supplier_Fixed_IT_044,RATTI-10044,Italy,Fixed Assets,Fixed Assets,Leverage,Annual,Qualified with Reserve,Medium-Low,747926,0,56.6,8,6.4,27.0,Low,2025-07-08,2026-07-08,Synthetic supplier-level data based on Ratti project category/risk logic
SUP045,Supplier_Outsourcing_PO_045,RATTI-10045,Portugal,Manufacturing,Outsourcing,Strategic,Quarterly,Not Qualified,High,1468964,1,35.7,22,31.5,39.8,Medium,2025-08-22,2025-11-22,Synthetic supplier-level data based on Ratti project category/risk logic
SUP046,Supplier_Chemical_IT_046,RATTI-10046,Italy,Goods,Chemical Products,Leverage,Semi-annual,Qualified,Medium,524071,0,25.3,15,7.5,17.2,Low,2025-08-06,2026-02-06,Synthetic supplier-level data based on Ratti project category/risk logic
SUP047,Supplier_Fixed_IT_047,RATTI-10047,Italy,Fixed Assets,Fixed Assets,Leverage,Annual,Qualified,Medium-Low,728636,0,30.4,10,8.0,17.7,Low,2025-05-15,2026-05-15,Synthetic supplier-level data based on Ratti project category/risk logic
SUP048,Supplier_Yarns_IT_048,RATTI-10048,Italy,Goods,Yarns,Strategic,Quarterly,Qualified with Reserve,High,1432781,1,44.9,9,37.0,40.3,Medium,2025-12-07,2026-03-07,Synthetic supplier-level data based on Ratti project category/risk logic
SUP049,Supplier_Yarns_IT_049,RATTI-10049,Italy,Goods,Yarns,Strategic,Quarterly,Not Qualified,High,430580,1,5.2,16,40.6,27.8,Low,2025-12-01,2026-03-01,Synthetic supplier-level data based on Ratti project category/risk logic
SUP050,Supplier_Personnel_FR_050,RATTI-10050,France,Services,Personnel (Training and HR Services),Non-Critical,Annual,Not Qualified,Low,102211,0,8.5,13,45.2,19.2,Low,2025-09-24,2026-09-24,Synthetic supplier-level data based on Ratti project category/risk logic
SUP051,Supplier_Fixed_FR_051,RATTI-10051,France,Fixed Assets,Fixed Assets,Leverage,Annual,Qualified,Medium-Low,346193,0,38.7,17,27.5,28.3,Low,2025-07-24,2026-07-24,Synthetic supplier-level data based on Ratti project category/risk logic
SUP052,Supplier_Outsourcing_IT_052,RATTI-10052,Italy,Manufacturing,Outsourcing,Strategic,Quarterly,Qualified,High,1420138,1,15.8,7,36.9,28.0,Low,2025-02-21,2025-05-21,Synthetic supplier-level data based on Ratti project category/risk logic
SUP053,Supplier_Plant_VI_053,RATTI-10053,Vietnam,Services,Plant and Machinery Maintenance,Bottleneck,Semi-annual,Qualified,Medium-High,477519,1,17.5,34,28.8,36.1,Medium,2025-05-25,2025-11-25,Synthetic supplier-level data based on Ratti project category/risk logic
SUP054,Supplier_Utilities_IT_054,RATTI-10054,Italy,Services,Utilities,Non-Critical,Annual,Qualified,Low,206352,0,39.1,17,25.0,27.9,Low,2025-02-25,2026-02-25,Synthetic supplier-level data based on Ratti project category/risk logic
SUP055,Supplier_Utilities_IT_055,RATTI-10055,Italy,Services,Utilities,Non-Critical,Annual,Qualified,Low,62261,0,21.6,14,17.4,17.9,Low,2025-11-04,2026-11-04,Synthetic supplier-level data based on Ratti project category/risk logic
SUP056,Supplier_Freight_IT_056,RATTI-10056,Italy,Transportation,Freight Transport / Logistics,Leverage,Semi-annual,Qualified,Medium,235939,0,46.6,19,19.6,30.2,Low,2025-03-10,2025-09-10,Synthetic supplier-level data based on Ratti project category/risk logic
SUP057,Supplier_Leathers_IT_057,RATTI-10057,Italy,Goods,Leathers,Strategic,Quarterly,Qualified with Reserve,High,1087075,1,37.0,18,19.2,35.9,Medium,2025-11-08,2026-02-08,Synthetic supplier-level data based on Ratti project category/risk logic
SUP058,Supplier_Yarns_FR_058,RATTI-10058,France,Goods,Yarns,Strategic,Quarterly,Not Qualified,High,1486846,0,17.6,15,51.3,25.1,Low,2025-11-11,2026-02-11,Synthetic supplier-level data based on Ratti project category/risk logic
SUP059,Supplier_Fabrics_IT_059,RATTI-10059,Italy,Goods,Fabrics,Strategic,Quarterly,Risky,High,1059563,0,34.6,18,9.5,22.5,Low,2025-09-21,2025-12-21,Synthetic supplier-level data based on Ratti project category/risk logic
SUP060,Supplier_Outsourced_FR_060,RATTI-10060,France,Manufacturing,Outsourced Leather Processing,Strategic,Quarterly,Not Qualified,High,1274910,1,26.9,10,33.2,32.6,Low,2025-02-09,2025-05-09,Synthetic supplier-level data based on Ratti project category/risk logic
