delivery_id,po_id,supplier_id,expected_delivery_date,actual_delivery_date,delivery_delay_days,on_time_flag,delivered_quantity,delivery_issue_type,data_source_note
DEL00040,PO00040,SUP012,2025-06-25,2025-06-30,5,0,4855,Transport issue,Synthetic delivery records for KPI demo
DEL00041,PO00041,SUP024,2026-01-28,2026-01-28,0,1,2807,None,Synthetic delivery records for KPI demo
DEL00042,PO00042,SUP028,2026-01-01,2026-01-01,0,1,12,None,Synthetic delivery records for KPI demo
DEL00043,PO00043,SUP025,2025-07-02,2025-07-07,5,0,4742,Transport issue,Synthetic delivery records for KPI demo
DEL00044,PO00044,SUP040,2025-06-06,2025-06-07,1,0,32,Partial delivery,Synthetic delivery records for KPI demo
DEL00045,PO00045,SUP021,2025-04-08,2025-04-08,0,1,41,None,Synthetic delivery records for KPI demo
DEL00046,PO00046,SUP005,2025-07-22,2025-07-22,0,1,60,None,Synthetic delivery records for KPI demo
DEL00047,PO00047,SUP057,2025-09-07,2025-09-07,0,1,2927,None,Synthetic delivery records for KPI demo
DEL00048,PO00048,SUP037,2025-12-21,2026-01-02,12,0,2465,Late delivery,Synthetic delivery records for KPI demo
DEL00049,PO00049,SUP057,2025-07-29,2025-07-29,0,1,4531,None,Synthetic delivery records for KPI demo
DEL00050,PO00050,SUP058,2025-09-13,2025-09-13,0,1,1401,None,Synthetic delivery records for KPI demo
DEL00051,PO00051,SUP045,2025-11-21,2025-11-30,9,0,17,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00052,PO00052,SUP019,2026-01-19,2026-01-19,0,1,7,None,Synthetic delivery records for KPI demo
DEL00053,PO00053,SUP006,2025-09-14,2025-09-17,3,0,2220,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00054,PO00054,SUP029,2025-02-15,2025-02-15,0,1,2207,None,Synthetic delivery records for KPI demo
DEL00055,PO00055,SUP043,2025-08-06,2025-08-06,0,1,49,None,Synthetic delivery records for KPI demo
DEL00056,PO00056,SUP027,2025-11-08,2025-11-08,0,1,15,None,Synthetic delivery records for KPI demo
DEL00057,PO00057,SUP058,2025-11-04,2025-11-04,0,1,1257,None,Synthetic delivery records for KPI demo
DEL00058,PO00058,SUP014,2025-04-24,2025-05-01,7,0,6,Partial delivery,Synthetic delivery records for KPI demo
DEL00059,PO00059,SUP017,2025-06-24,2025-06-25,1,0,2312,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00060,PO00060,SUP038,2025-03-06,2025-03-06,0,1,7,None,Synthetic delivery records for KPI demo
DEL00061,PO00061,SUP042,2025-10-19,2025-10-19,0,1,3,None,Synthetic delivery records for KPI demo
DEL00062,PO00062,SUP044,2026-01-23,2026-01-26,3,0,53,Transport issue,Synthetic delivery records for KPI demo
DEL00063,PO00063,SUP002,2025-07-18,2025-07-18,0,1,4077,None,Synthetic delivery records for KPI demo
DEL00064,PO00064,SUP020,2025-09-11,2025-09-11,0,1,27,None,Synthetic delivery records for KPI demo
DEL00065,PO00065,SUP027,2025-10-16,2025-10-16,0,1,48,None,Synthetic delivery records for KPI demo
DEL00066,PO00066,SUP050,2025-11-08,2025-11-15,7,0,53,Transport issue,Synthetic delivery records for KPI demo
DEL00067,PO00067,SUP018,2025-08-13,2025-08-13,0,1,41,None,Synthetic delivery records for KPI demo
DEL00068,PO00068,SUP029,2025-05-08,2025-05-08,0,1,2915,None,Synthetic delivery records for KPI demo
DEL00069,PO00069,SUP019,2025-02-15,2025-02-26,11,0,55,Partial delivery,Synthetic delivery records for KPI demo
DEL00070,PO00070,SUP027,2025-09-28,2025-09-28,0,1,50,None,Synthetic delivery records for KPI demo
DEL00071,PO00071,SUP039,2025-01-26,2025-01-26,0,1,52,None,Synthetic delivery records for KPI demo
DEL00072,PO00072,SUP023,2025-09-16,2025-09-21,5,0,37,Transport issue,Synthetic delivery records for KPI demo
DEL00073,PO00073,SUP007,2025-09-15,2025-09-15,0,1,2314,None,Synthetic delivery records for KPI demo
DEL00074,PO00074,SUP058,2025-12-26,2026-01-04,9,0,4287,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00075,PO00075,SUP044,2025-03-21,2025-03-21,0,1,19,None,Synthetic delivery records for KPI demo
DEL00076,PO00076,SUP038,2026-02-10,2026-02-10,0,1,22,None,Synthetic delivery records for KPI demo
DEL00077,PO00077,SUP033,2025-06-20,2025-06-20,0,1,57,None,Synthetic delivery records for KPI demo
DEL00078,PO00078,SUP044,2025-07-03,2025-07-09,6,0,27,Transport issue,Synthetic delivery records for KPI demo
DEL00079,PO00079,SUP008,2025-09-08,2025-09-08,0,1,38,None,Synthetic delivery records for KPI demo
DEL00080,PO00080,SUP056,2026-01-15,2026-01-15,0,1,27,None,Synthetic delivery records for KPI demo
DEL00081,PO00081,SUP027,2025-11-24,2025-12-07,13,0,56,Partial delivery,Synthetic delivery records for KPI demo
DEL00082,PO00082,SUP004,2025-02-07,2025-02-13,6,0,1347,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00083,PO00083,SUP026,2025-09-14,2025-09-14,0,1,3,None,Synthetic delivery records for KPI demo
DEL00084,PO00084,SUP058,2025-07-24,2025-07-26,2,0,83,Transport issue,Synthetic delivery records for KPI demo
DEL00085,PO00085,SUP007,2025-08-24,2025-08-24,0,1,1418,None,Synthetic delivery records for KPI demo
DEL00086,PO00086,SUP047,2025-11-08,2025-11-08,0,1,28,None,Synthetic delivery records for KPI demo
DEL00087,PO00087,SUP049,2025-04-24,2025-04-24,0,1,3354,None,Synthetic delivery records for KPI demo
DEL00088,PO00088,SUP011,2025-04-04,2025-04-04,0,1,356,None,Synthetic delivery records for KPI demo
DEL00089,PO00089,SUP039,2025-02-07,2025-02-07,0,1,2,None,Synthetic delivery records for KPI demo
DEL00090,PO00090,SUP036,2025-06-16,2025-06-16,0,1,1733,None,Synthetic delivery records for KPI demo
DEL00091,PO00091,SUP043,2025-10-18,2025-10-18,0,1,45,None,Synthetic delivery records for KPI demo
DEL00092,PO00092,SUP008,2025-04-03,2025-04-09,6,0,34,Transport issue,Synthetic delivery records for KPI demo
DEL00093,PO00093,SUP060,2025-10-02,2025-10-10,8,0,1,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00094,PO00094,SUP047,2025-03-16,2025-03-16,0,1,30,None,Synthetic delivery records for KPI demo
DEL00095,PO00095,SUP024,2026-01-09,2026-01-09,0,1,981,None,Synthetic delivery records for KPI demo
DEL00096,PO00096,SUP011,2025-07-17,2025-07-17,0,1,2247,None,Synthetic delivery records for KPI demo
DEL00097,PO00097,SUP008,2025-08-26,2025-08-26,0,1,18,None,Synthetic delivery records for KPI demo
DEL00098,PO00098,SUP052,2025-04-10,2025-04-13,3,0,55,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00099,PO00099,SUP044,2025-08-31,2025-08-31,0,1,50,None,Synthetic delivery records for KPI demo
DEL00100,PO00100,SUP047,2025-04-14,2025-04-14,0,1,6,None,Synthetic delivery records for KPI demo
DEL00101,PO00101,SUP001,2026-02-05,2026-02-05,0,1,4773,None,Synthetic delivery records for KPI demo
DEL00102,PO00102,SUP022,2025-11-02,2025-11-02,0,1,40,None,Synthetic delivery records for KPI demo
DEL00103,PO00103,SUP023,2026-01-06,2026-01-07,1,0,53,Partial delivery,Synthetic delivery records for KPI demo
DEL00104,PO00104,SUP031,2025-09-28,2025-09-29,1,0,18,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00105,PO00105,SUP016,2025-03-18,2025-03-18,0,1,37,None,Synthetic delivery records for KPI demo
DEL00106,PO00106,SUP008,2025-09-20,2025-09-25,5,0,27,Transport issue,Synthetic delivery records for KPI demo
DEL00107,PO00107,SUP036,2025-05-22,2025-05-22,0,1,3026,None,Synthetic delivery records for KPI demo
DEL00108,PO00108,SUP050,2025-12-29,2025-12-29,0,1,43,None,Synthetic delivery records for KPI demo
DEL00109,PO00109,SUP015,2025-01-30,2025-01-30,0,1,41,None,Synthetic delivery records for KPI demo
DEL00110,PO00110,SUP048,2025-08-11,2025-08-18,7,0,3268,Late delivery,Synthetic delivery records for KPI demo
DEL00111,PO00111,SUP003,2026-01-04,2026-01-11,7,0,58,Partial delivery,Synthetic delivery records for KPI demo
DEL00112,PO00112,SUP001,2025-10-09,2025-10-09,0,1,3595,None,Synthetic delivery records for KPI demo
DEL00113,PO00113,SUP059,2025-05-15,2025-05-20,5,0,4969,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00114,PO00114,SUP039,2026-01-12,2026-01-12,0,1,22,None,Synthetic delivery records for KPI demo
DEL00115,PO00115,SUP020,2026-02-06,2026-02-06,0,1,46,None,Synthetic delivery records for KPI demo
DEL00116,PO00116,SUP019,2026-01-16,2026-01-16,0,1,9,None,Synthetic delivery records for KPI demo
DEL00117,PO00117,SUP036,2025-10-17,2025-10-17,0,1,3469,None,Synthetic delivery records for KPI demo
DEL00118,PO00118,SUP001,2025-10-08,2025-10-10,2,0,1240,Partial delivery,Synthetic delivery records for KPI demo
DEL00119,PO00119,SUP044,2025-05-25,2025-05-25,0,1,45,None,Synthetic delivery records for KPI demo
DEL00120,PO00120,SUP056,2026-01-23,2026-01-23,0,1,48,None,Synthetic delivery records for KPI demo
DEL00121,PO00121,SUP045,2025-06-07,2025-06-07,0,1,25,None,Synthetic delivery records for KPI demo
DEL00122,PO00122,SUP056,2025-09-05,2025-09-05,0,1,46,None,Synthetic delivery records for KPI demo
DEL00123,PO00123,SUP019,2025-09-05,2025-09-05,0,1,5,None,Synthetic delivery records for KPI demo
DEL00124,PO00124,SUP017,2025-03-25,2025-03-25,0,1,2139,None,Synthetic delivery records for KPI demo
DEL00125,PO00125,SUP004,2025-12-13,2025-12-13,0,1,4741,None,Synthetic delivery records for KPI demo
DEL00126,PO00126,SUP015,2025-05-15,2025-05-16,1,0,35,Partial delivery,Synthetic delivery records for KPI demo
DEL00127,PO00127,SUP022,2025-07-29,2025-08-04,6,0,49,Late delivery,Synthetic delivery records for KPI demo
DEL00128,PO00128,SUP040,2025-12-07,2025-12-07,0,1,44,None,Synthetic delivery records for KPI demo
DEL00129,PO00129,SUP025,2025-06-22,2025-06-22,0,1,252,None,Synthetic delivery records for KPI demo
DEL00130,PO00130,SUP032,2025-02-17,2025-02-17,0,1,1627,None,Synthetic delivery records for KPI demo
DEL00131,PO00131,SUP001,2025-11-28,2025-11-28,0,1,1796,None,Synthetic delivery records for KPI demo
DEL00132,PO00132,SUP054,2026-01-29,2026-01-29,0,1,5,None,Synthetic delivery records for KPI demo
DEL00133,PO00133,SUP006,2025-02-17,2025-02-23,6,0,1914,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00134,PO00134,SUP002,2025-08-02,2025-08-02,0,1,568,None,Synthetic delivery records for KPI demo
DEL00135,PO00135,SUP051,2026-01-13,2026-01-13,0,1,19,None,Synthetic delivery records for KPI demo
DEL00136,PO00136,SUP031,2025-05-02,2025-05-02,0,1,48,None,Synthetic delivery records for KPI demo
DEL00137,PO00137,SUP024,2025-02-17,2025-02-17,0,1,1208,None,Synthetic delivery records for KPI demo
DEL00138,PO00138,SUP036,2025-03-11,2025-03-11,0,1,2866,None,Synthetic delivery records for KPI demo
DEL00139,PO00139,SUP054,2025-05-29,2025-06-04,6,0,43,Late delivery,Synthetic delivery records for KPI demo
DEL00140,PO00140,SUP005,2025-05-22,2025-05-23,1,0,2939,Partial delivery,Synthetic delivery records for KPI demo
DEL00141,PO00141,SUP029,2025-07-14,2025-07-14,0,1,1298,None,Synthetic delivery records for KPI demo
DEL00142,PO00142,SUP011,2025-01-30,2025-01-31,1,0,1864,Transport issue,Synthetic delivery records for KPI demo
DEL00143,PO00143,SUP029,2025-07-29,2025-07-29,0,1,941,None,Synthetic delivery records for KPI demo
DEL00144,PO00144,SUP009,2025-10-22,2025-10-22,0,1,57,None,Synthetic delivery records for KPI demo
DEL00145,PO00145,SUP041,2025-03-01,2025-03-01,0,1,50,None,Synthetic delivery records for KPI demo
DEL00146,PO00146,SUP035,2025-09-15,2025-09-15,0,1,15,None,Synthetic delivery records for KPI demo
DEL00147,PO00147,SUP026,2025-08-14,2025-08-19,5,0,40,Partial delivery,Synthetic delivery records for KPI demo
DEL00148,PO00148,SUP037,2025-12-20,2025-12-20,0,1,4010,None,Synthetic delivery records for KPI demo
DEL00149,PO00149,SUP005,2025-06-15,2025-06-30,15,0,1743,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00150,PO00150,SUP003,2025-12-26,2026-01-05,10,0,18,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00151,PO00151,SUP042,2025-03-21,2025-03-21,0,1,59,None,Synthetic delivery records for KPI demo
DEL00152,PO00152,SUP032,2025-10-19,2025-10-23,4,0,1105,Transport issue,Synthetic delivery records for KPI demo
DEL00153,PO00153,SUP012,2025-04-21,2025-04-21,0,1,1019,None,Synthetic delivery records for KPI demo
DEL00154,PO00154,SUP031,2026-01-18,2026-01-18,0,1,37,None,Synthetic delivery records for KPI demo
DEL00155,PO00155,SUP033,2025-03-05,2025-03-13,8,0,34,Transport issue,Synthetic delivery records for KPI demo
DEL00156,PO00156,SUP014,2025-10-02,2025-10-02,0,1,56,None,Synthetic delivery records for KPI demo
DEL00157,PO00157,SUP010,2025-11-13,2025-11-13,0,1,33,None,Synthetic delivery records for KPI demo
DEL00158,PO00158,SUP030,2025-12-16,2025-12-29,13,0,24,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00159,PO00159,SUP039,2025-03-09,2025-03-09,0,1,38,None,Synthetic delivery records for KPI demo
DEL00160,PO00160,SUP035,2025-02-04,2025-02-04,0,1,24,None,Synthetic delivery records for KPI demo
DEL00161,PO00161,SUP051,2025-08-13,2025-08-13,0,1,48,None,Synthetic delivery records for KPI demo
DEL00162,PO00162,SUP015,2025-03-09,2025-03-09,0,1,35,None,Synthetic delivery records for KPI demo
DEL00163,PO00163,SUP051,2025-02-16,2025-02-16,0,1,34,None,Synthetic delivery records for KPI demo
DEL00164,PO00164,SUP021,2025-08-28,2025-08-29,1,0,17,Transport issue,Synthetic delivery records for KPI demo
DEL00165,PO00165,SUP026,2025-05-18,2025-05-18,0,1,36,None,Synthetic delivery records for KPI demo
DEL00166,PO00166,SUP017,2025-07-20,2025-07-20,0,1,3311,None,Synthetic delivery records for KPI demo
DEL00167,PO00167,SUP045,2025-04-06,2025-04-14,8,0,26,Late delivery,Synthetic delivery records for KPI demo
DEL00168,PO00168,SUP053,2025-04-22,2025-04-22,0,1,28,None,Synthetic delivery records for KPI demo
DEL00169,PO00169,SUP039,2025-02-20,2025-02-20,0,1,26,None,Synthetic delivery records for KPI demo
DEL00170,PO00170,SUP050,2025-05-08,2025-05-08,0,1,13,None,Synthetic delivery records for KPI demo
DEL00171,PO00171,SUP033,2025-10-13,2025-10-13,0,1,44,None,Synthetic delivery records for KPI demo
DEL00172,PO00172,SUP023,2026-01-10,2026-01-10,0,1,13,None,Synthetic delivery records for KPI demo
DEL00173,PO00173,SUP054,2025-11-27,2025-11-27,0,1,53,None,Synthetic delivery records for KPI demo
DEL00174,PO00174,SUP060,2025-09-07,2025-09-14,7,0,36,Late delivery,Synthetic delivery records for KPI demo
DEL00175,PO00175,SUP017,2025-11-15,2025-11-15,0,1,3677,None,Synthetic delivery records for KPI demo
DEL00176,PO00176,SUP050,2025-09-28,2025-09-28,0,1,56,None,Synthetic delivery records for KPI demo
DEL00177,PO00177,SUP045,2025-05-25,2025-05-25,0,1,23,None,Synthetic delivery records for KPI demo
DEL00178,PO00178,SUP019,2025-03-21,2025-03-21,0,1,53,None,Synthetic delivery records for KPI demo
DEL00179,PO00179,SUP021,2025-07-21,2025-07-21,0,1,18,None,Synthetic delivery records for KPI demo
DEL00180,PO00180,SUP048,2025-05-27,2025-06-06,10,0,1711,Late delivery,Synthetic delivery records for KPI demo
DEL00181,PO00181,SUP040,2025-02-14,2025-02-14,0,1,55,None,Synthetic delivery records for KPI demo
DEL00182,PO00182,SUP057,2025-11-15,2025-11-15,0,1,4237,None,Synthetic delivery records for KPI demo
DEL00183,PO00183,SUP035,2025-02-25,2025-02-25,0,1,56,None,Synthetic delivery records for KPI demo
DEL00184,PO00184,SUP030,2025-06-18,2025-06-24,6,0,21,Transport issue,Synthetic delivery records for KPI demo
DEL00185,PO00185,SUP031,2025-12-08,2025-12-08,0,1,32,None,Synthetic delivery records for KPI demo
DEL00186,PO00186,SUP024,2025-08-18,2025-08-18,0,1,4730,None,Synthetic delivery records for KPI demo
DEL00187,PO00187,SUP052,2025-06-12,2025-06-12,0,1,25,None,Synthetic delivery records for KPI demo
DEL00188,PO00188,SUP031,2025-01-23,2025-01-23,0,1,9,None,Synthetic delivery records for KPI demo
DEL00189,PO00189,SUP036,2025-10-28,2025-10-28,0,1,1388,None,Synthetic delivery records for KPI demo
DEL00190,PO00190,SUP029,2025-07-14,2025-07-14,0,1,4640,None,Synthetic delivery records for KPI demo
DEL00191,PO00191,SUP023,2026-01-28,2026-02-08,11,0,37,Transport issue,Synthetic delivery records for KPI demo
DEL00192,PO00192,SUP044,2025-10-27,2025-10-27,0,1,29,None,Synthetic delivery records for KPI demo
DEL00193,PO00193,SUP010,2025-04-24,2025-04-24,0,1,37,None,Synthetic delivery records for KPI demo
DEL00194,PO00194,SUP021,2025-12-26,2025-12-26,0,1,39,None,Synthetic delivery records for KPI demo
DEL00195,PO00195,SUP024,2025-12-07,2025-12-07,0,1,3441,None,Synthetic delivery records for KPI demo
DEL00196,PO00196,SUP017,2026-01-06,2026-01-09,3,0,3926,Late delivery,Synthetic delivery records for KPI demo
DEL00197,PO00197,SUP060,2025-08-14,2025-08-20,6,0,48,Partial delivery,Synthetic delivery records for KPI demo
DEL00198,PO00198,SUP011,2025-01-24,2025-01-24,0,1,2714,None,Synthetic delivery records for KPI demo
DEL00199,PO00199,SUP018,2025-11-12,2025-11-21,9,0,38,Transport issue,Synthetic delivery records for KPI demo
DEL00200,PO00200,SUP031,2025-10-25,2025-10-25,0,1,29,None,Synthetic delivery records for KPI demo
DEL00201,PO00201,SUP001,2025-02-10,2025-02-10,0,1,1166,None,Synthetic delivery records for KPI demo
DEL00202,PO00202,SUP032,2025-09-28,2025-10-02,4,0,3576,Transport issue,Synthetic delivery records for KPI demo
DEL00203,PO00203,SUP016,2025-04-25,2025-04-25,0,1,15,None,Synthetic delivery records for KPI demo
DEL00204,PO00204,SUP049,2025-12-04,2025-12-04,0,1,4407,None,Synthetic delivery records for KPI demo
DEL00205,PO00205,SUP030,2025-12-18,2025-12-18,0,1,40,None,Synthetic delivery records for KPI demo
DEL00206,PO00206,SUP007,2025-06-18,2025-06-22,4,0,788,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00207,PO00207,SUP052,2025-10-13,2025-10-13,0,1,49,None,Synthetic delivery records for KPI demo
DEL00208,PO00208,SUP031,2025-04-22,2025-04-22,0,1,17,None,Synthetic delivery records for KPI demo
DEL00209,PO00209,SUP016,2025-08-21,2025-08-21,0,1,3,None,Synthetic delivery records for KPI demo
DEL00210,PO00210,SUP025,2026-01-10,2026-01-10,0,1,1349,None,Synthetic delivery records for KPI demo
DEL00211,PO00211,SUP008,2025-06-16,2025-06-16,0,1,13,None,Synthetic delivery records for KPI demo
DEL00212,PO00212,SUP008,2025-06-04,2025-06-04,0,1,11,None,Synthetic delivery records for KPI demo
DEL00213,PO00213,SUP003,2025-12-01,2025-12-01,0,1,10,None,Synthetic delivery records for KPI demo
DEL00214,PO00214,SUP044,2025-12-11,2025-12-11,0,1,49,None,Synthetic delivery records for KPI demo
DEL00215,PO00215,SUP032,2025-05-27,2025-05-27,0,1,2895,None,Synthetic delivery records for KPI demo
DEL00216,PO00216,SUP017,2025-02-28,2025-02-28,0,1,4629,None,Synthetic delivery records for KPI demo
DEL00217,PO00217,SUP023,2025-07-21,2025-07-27,6,0,52,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00218,PO00218,SUP017,2025-11-04,2025-11-04,0,1,4194,None,Synthetic delivery records for KPI demo
DEL00219,PO00219,SUP024,2025-12-06,2025-12-06,0,1,568,None,Synthetic delivery records for KPI demo
DEL00220,PO00220,SUP050,2025-10-26,2025-10-26,0,1,21,None,Synthetic delivery records for KPI demo
DEL00221,PO00221,SUP005,2025-02-07,2025-02-14,7,0,1619,Transport issue,Synthetic delivery records for KPI demo
DEL00222,PO00222,SUP001,2025-05-25,2025-05-25,0,1,705,None,Synthetic delivery records for KPI demo
DEL00223,PO00223,SUP057,2025-08-31,2025-08-31,0,1,527,None,Synthetic delivery records for KPI demo
DEL00224,PO00224,SUP054,2025-06-16,2025-06-16,0,1,34,None,Synthetic delivery records for KPI demo
DEL00225,PO00225,SUP013,2025-05-19,2025-05-19,0,1,37,None,Synthetic delivery records for KPI demo
DEL00226,PO00226,SUP037,2025-08-08,2025-08-08,0,1,3548,None,Synthetic delivery records for KPI demo
DEL00227,PO00227,SUP033,2025-07-09,2025-07-09,0,1,39,None,Synthetic delivery records for KPI demo
DEL00228,PO00228,SUP021,2025-08-12,2025-08-12,0,1,28,None,Synthetic delivery records for KPI demo
DEL00229,PO00229,SUP050,2025-11-01,2025-11-01,0,1,28,None,Synthetic delivery records for KPI demo
DEL00230,PO00230,SUP039,2025-02-18,2025-02-23,5,0,57,Partial delivery,Synthetic delivery records for KPI demo
DEL00231,PO00231,SUP021,2025-02-05,2025-02-05,0,1,31,None,Synthetic delivery records for KPI demo
DEL00232,PO00232,SUP009,2025-06-15,2025-06-15,0,1,16,None,Synthetic delivery records for KPI demo
DEL00233,PO00233,SUP005,2025-07-23,2025-07-31,8,0,4770,Transport issue,Synthetic delivery records for KPI demo
DEL00234,PO00234,SUP050,2025-02-26,2025-02-26,0,1,53,None,Synthetic delivery records for KPI demo
DEL00235,PO00235,SUP055,2025-11-12,2025-11-12,0,1,41,None,Synthetic delivery records for KPI demo
DEL00236,PO00236,SUP033,2026-01-14,2026-01-15,1,0,44,Late delivery,Synthetic delivery records for KPI demo
DEL00237,PO00237,SUP019,2025-08-06,2025-08-14,8,0,4,Supplier capacity issue,Synthetic delivery records for KPI demo
DEL00238,PO00238,SUP050,2026-01-08,2026-01-08,0,1,31,None,Synthetic delivery records for KPI demo
DEL00239,PO00239,SUP036,2025-12-22,2025-12-22,0,1,636,None,Synthetic delivery records for KPI demo
DEL00240,PO00240,SUP006,2025-04-01,2025-04-01,0,1,2903,None,Synthetic delivery records for KPI demo
DEL00241,PO00241,SUP053,2025-08-31,2025-08-31,0,1,60,None,Synthetic delivery records for KPI demo
DEL00242,PO00242,SUP048,2025-02-19,2025-02-19,0,1,1170,None,Synthetic delivery records for KPI demo
DEL00243,PO00243,SUP020,2025-09-25,2025-10-02,7,0,14,Transport issue,Synthetic delivery records for KPI demo
DEL00244,PO00244,SUP040,2025-03-22,2025-03-22,0,1,58,None,Synthetic delivery records for KPI demo
DEL00245,PO00245,SUP018,2025-03-05,2025-03-05,0,1,1,None,Synthetic delivery records for KPI demo
DEL00246,PO00246,SUP059,2026-01-03,2026-01-03,0,1,206,None,Synthetic delivery records for KPI demo
DEL00247,PO00247,SUP046,2025-03-19,2025-03-19,0,1,4941,None,Synthetic delivery records for KPI demo
DEL00248,PO00248,SUP036,2026-01-08,2026-01-15,7,0,3712,Transport issue,Synthetic delivery records for KPI demo
